;ashp;wshp;gshp;gas;oil;LTDHN
k_prod;1014.4736736992451;2261.47755927541;3191.935268093075;945.0;880.0;2261.47755927541
i_prod;1981282.190627377;4416699.347512277;6233897.107696761;1845599.0714037437;1718653.1035294123;4416699.347512277
i_dis;0.0;0.0;0.0;0.0;0.0;107871.99629896134
i_aux;0.0;0.0;0.0;0.0;0.0;652455.9
i_con;0.0;0.0;0.0;0.0;0.0;108742.65
share_equip;0.27;0.27;0.27;0.37;0.37;0.37
share_inst;0.73;0.73;0.73;0.63;0.63;0.63
k_O&M;0.01;0.01;0.01;0.025;0.025;0.025
eta;3.0;4.0;3.7;0.87;0.83;0.83
lifetime;25.0;25.0;25.0;20.0;20.0;20.0
price;0.201;0.201;0.201;0.093;0.078;0.078
I_inv_tot;1981282.190627377;4416699.347512277;6233897.107696761;1845599.0714037437;1718653.1035294123;5285769.893811239
I_inv_yearly;113780.81813546957;253641.6405475348;357999.4391720012;124053.2475245087;115520.48446726736;355286.76360669715
I_O&M_yearly;19812.82190627377;44166.99347512277;62338.97107696762;46139.9767850936;42966.32758823531;132144.24734528098
I_energy_yearly;242858.58500000002;182143.93875;196912.36621621624;387473.8103448276;340639.6265060241;340639.6265060241
I_yearly;376452.22504174337;479952.5727726576;617250.776465185;557667.0346544299;499126.43856152677;828070.6374580022
I_inv_yearly_lt_corrected;137143.96614170505;305723.065921019;431509.1398455052;159690.0089227122;148706.04005501245;457349.94917618716
LCOH;0.11030135086315596;0.14677791965143624;0.19056749411717178;0.16368107528719414;0.14685461338746256;0.2566059838602864
